Area Code,Country,State,City
713,United States,Texas,Houston
714,United States,California,Orange
715,United States,Wisconsin,Wausau
716,United States,New York,Buffalo
717,United States,Pennsylvania,Harrisburg
718,United States,New York,Bronx
719,United States,Colorado,Colorado Springs
720,United States,Colorado,Denver
724,United States,Pennsylvania,New Castle
727,United States,Florida,Clearwater
732,United States,New Jersey,Lakewood
734,United States,Michigan,Ann Arbor
740,United States,Ohio,Cambridge
757,United States,Virginia,Norfolk
760,United States,California,Indio
763,United States,Minnesota,Maple Grove
765,United States,Indiana,Lafayette
770,United States,Georgia,Roswell
773,United States,Illinois,Chicago
775,United States,Nevada,Reno
781,United States,Massachusetts,Norwood
785,United States,Kansas,Topeka
786,United States,Florida,Miami
801,United States,Utah,Salt Lake City
803,United States,South Carolina,Columbia
804,United States,Virginia,Richmond
805,United States,California,Thousand Oaks
806,United States,Texas,Amarillo
810,United States,Michigan,Flint
812,United States,Indiana,Terre Haute
813,United States,Florida,Tampa
814,United States,Pennsylvania,Erie
815,United States,Illinois,Rickford
816,United States,Missouri,Kansas City
817,United States,Texas,Fort Worth
818,United States,California,Glendale
828,United States,North Carolina,Asheville
830,United States,Texas,Uvalde
831,United States,California,Salinas
832,United States,Texas,Houston
843,United States,South Carolina,Charleston
845,United States,New York,Poughkeepsie
847,United States,Illinois,Waukegan
850,United States,Florida,Tallahassee
856,United States,New Jersey,Cherry Hill
858,United States,California,Solano Beach
859,United States,Kentucky,Lexington
860,United States,Connecticut,Hartford
863,United States,Florida,Avon Park
864,United States,South Carolina,Greenville
865,United States,Tennessee,Knoxville
870,United States,Arkansas,Jonesboro
901,United States,Tennessee,Memphis
903,United States,Texas,Tyler
904,United States,Florida,Jacksonville
906,United States,Michigan,Sault Ste. Marie
908,United States,New Jersey,Washington
909,United States,California,Pomona
910,United States,North Carolina,Fayetteville
912,United States,Georgia,Waycross
913,United States,Kansas,Kansas City
914,United States,New York,White Plains
915,United States,Texas,El Paso
916,United States,California,Sacramento
917,United States,New York,New York
918,United States,Oklahoma,Tulsa
919,United States,North Carolina,Raleigh
920,United States,Wisconsin,Green Bay
925,United States,California,Concord
931,United States,Tennessee,Columbia
936,United States,Texas,Huntsville
937,United States,Ohio,Dayton
940,United States,Texas,Vernon
941,United States,Florida,Naples
949,United States,California,Irvine
952,United States,Minnesota,Bloomington
954,United States,Florida,Fort Lauderdale
956,United States,Texas,Mcallen
970,United States,Colorado,Grand Junction
971,United States,Oregon,Portland
972,United States,Texas,Dallas
973,United States,New Jersey,Paterson
978,United States,Massachusetts,Peabody
979,United States,Texas,Wharton
